CASE_NO,CASE_RECEIVED_DATE,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_NUM_EMPLOYEES,EMPLOYER_YR_ESTAB,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,JOB_INFO_WORK_ADDRESS_1,JOB_INFO_WORK_ADDRESS_2,Job_Info_Work_City,Job_Info_Work_State,JOB_INFO_WORK_POSTAL_CODE,JOB_INFO_JOB_TITLE,JOB_INFO_EDUCATION,JOB_INFO_EDUCATION_OTHER,JOB_INFO_MAJOR,JOB_INFO_TRAINING,JOB_INFO_TRAINING_NUM_MONTHS,JOB_INFO_TRAINING_FIELD,JOB_INFO_EXPERIENCE,JOB_INFO_EXPERIENCE_NUM_MONTHS,JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD_NAME,JOB_INFO_ALT_COMBO_ED_EXP,JOB_INFO_ALT_COMBO_ED,JOB_INFO_ALT_COMBO_ED_OTHER,JOB_INFO_ALT_CMB_ED_OTH_YRS,JOB_INFO_FOREIGN_ED,JOB_INFO_ALT_OCC,JOB_INFO_ALT_OCC_NUM_MONTHS,JOB_INFO_ALT_OCC_JOB_TITLE,JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_COMBO_OCCUPATION,Country_of_Citizenship,Class_of_Admission,REFILE,ORIG_FILE_DATE,ORIG_CASE_NO,SCHD_A_SHEEPHERDER,ALIEN_OWNERSHIP_INTEREST,CONTACT_ADDRESS_1,CONTACT_ADDRESS_2,CONTACT_CITY,CONTACT_STATE,CONTACT_POSTAL_CODE,CONTACT_PHONE,CONTACT_EMAIL,AGENT_LAST_NAME,AGENT_FIRST_NAME,AGENT_FIRM_NAME,AGENT_PHONE,AGENT_PHONE_EXT,AGENT_ADDRESS_1,AGENT_ADDRESS_2,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_POSTAL_CODE,AGENT_EMAIL,PW_SOURCE_NAME_OTHER_9089,PW_DETERM_DATE,PW_EXPIRE_DATE,JI_ALIEN_LIVE_ON_PREMISES,JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOM_SVC_CONTRACT,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_TEACH_COMP_PROC,RI_COLL_TCH_BASIC_PROCESS,RI_COLL_TEACH_SELECT_DATE,RI_COLL_TEACH_PRO_JNL,RECR_INFO_SWA_JOB_ORDER_START,RECR_INFO_SWA_JOB_ORDER_END,RECR_INFO_SUNDAY_NEWSPAPER,RI_1ST_AD_NEWSPAPER_NAME,RI_2ND_AD_NEWSPAPER_NAME,RI_2ND_AD_NEWSPAPER_OR_JOURNAL,RECR_INFO_SECOND_AD_START,RECR_INFO_JOB_FAIR_FROM,RECR_INFO_JOB_FAIR_TO,RECR_INFO_ON_CAMPUS_RECR_FROM,RECR_INFO_ON_CAMPUS_RECR_TO,RI_EMPLOYER_WEB_POST_FROM,RECR_INFO_PRO_ORG_ADVERT_FROM,RECR_INFO_PRO_ORG_ADVERT_TO,RI_JOB_SEARCH_WEBSITE_FROM,RI_JOB_SEARCH_WEBSITE_TO,RI_PVT_EMPLOYMENT_FIRM_FROM,RI_PVT_EMPLOYMENT_FIRM_TO,RI_EMPLOYEE_REFERRAL_PROG_TO,RI_CAMPUS_PLACEMENT_FROM,RI_CAMPUS_PLACEMENT_TO,RI_LOCAL_ETHNIC_PAPER_FROM,RI_LOCAL_ETHNIC_PAPER_TO,RECR_INFO_RADIO_TV_AD_FROM,RECR_INFO_RADIO_TV_AD_TO,RECR_INFO_EMPLOYER_REC_PAYMENT,REC_INFO_BARG_REP_NOTIFIED,RI_LAYOFF_IN_PAST_SIX_MONTHS,RI_US_WORKERS_CONSIDERED,ALIEN_INFO_STATE,ALIEN_INFO_COUNTRY,ALIEN_INFO_EDUCATION,ALIEN_INFO_INST_COUNTRY,ALIEN_INFO_TRAINING_COMP,ALIEN_INFO_REQ_EXPERIENCE,ALIEN_INFO_ALT_EDU_EXPERIENCE,ALIEN_INFO_REL_OCCUP_EXP,ALIEN_INFO_BENEFICIARY_EXP,AI_EMP_EDU_TRAINING_PAID,ALIEN_INFO_CURR_EMPLOYED,PREPARER_INFO_EMP_COMPLETED,PREPARER_INFO_TITLE,PREPARER_INFO_EMAIL,PREPARER_INFO_SIGNATURE,EMPLOYER_DECL_INFO_TITLE,
A-05308-50098,10-set-15,23-fev-16,Certified,ONLINE,"ARRAY NETWORKS, INC.",1371 MCCARTHY BOULEVARD,,MILPITAS,CA,95035,408-240-8700,,50,2000,334119,Other Computer Peripheral Equipment Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,,Year,115253,,Year,1371 McCarthy Blvd,,Milpitas,CA,95035,Software Engineer,Master's,,Computer Engineering or related field,N,,,N,,N,,N,,,,Y,N,,,N,N,CHINA,H-1B,N,,,N,N,1371 McCarthy Blvd.,,Milpitas,CA,95035,4082408700,dreyes@arraynetworks.net,SMITH,Donald,Litwin & Associates,6505887100,22,"1435 Huntington Avenue, Suite 336",,South San Francisco,CALIFORNIA,UNITED STATES OF AMERICA,94080,dsmith@litwinsmith.com,,09-fev-15,30-jun-15,N,N,,Y,N,,,,,16-mar-15,22-abr-15,Y,San Jose Mercury News,San Jose Mercury News,Y,29-mar-15,,,,,20-mar-15,,,18-mar-15,02-abr-15,,,22-abr-15,,,,,,,N,A,N,,CA,CHINA,Master's,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,N,"Shareholder, Managing Attorney",dsmith@litwinsmith.com,,Chief Financial Officer,
A-05336-59482,19-ago-15,03-fev-16,Certified,ONLINE,POLARIS INDUSTRIES INC.,2100 HIGHWAY 55,,MEDINA,MN,55340,7635420500,,3600,1954,336999,All Other Transportation Equipment Manufacturing,Advanced Mfg,15-1132,"Software Developers, Applications","Software Developers, Applications",,Towers Watson: Prof. Compensation Survey 2014,Year,82000,,Year,9955 59th Avenue North,,Plymouth,MN,55442,Java Developer,Bachelor's,,Computer Science,N,,,N,,Y,Information Systems Engineering or closely related field,N,,,,Y,Y,60,progressive post-baccalaureate experience building enterprise applications.,N,N,INDIA,H-1B,N,,,N,N,7290 Viking Blvd. East,,Wyoming,MN,55092,651-408-7582,Jen.Stella@polarisind.com,Huynh,Loan,"Fredrikson & Byron, P.A.",6124927165,7165,200 South Sixth Streeet,Suite 4000,Minneapolis,MINNESOTA,UNITED STATES OF AMERICA,55402,lhuynh@fredlaw.com,Towers Watson: Prof. Compensation Survey 2014,29-mai-15,27-ago-15,N,N,,Y,N,,,,,13-mai-15,14-jun-15,Y,Star Tribune,Star Tribune,Y,21-jun-15,,,,,12-jun-15,,,14-jun-15,20-jun-15,,,29-jun-15,,,,,,,N,A,N,,MN,INDIA,Bachelor's,INDIA,A,A,A,Y,N,N,Y,N,Attorney,lhuynh@fredlaw.com,,Talent Acquisition Manager,
A-06009-72629,01-mai-15,01-dez-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,6000,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1032,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",,,Year,80000,,Year,865 Asp Avenue,,Norman,OK,73019,Assistant Professor,Doctorate,,"Mechanical Engineering, Aerospace Engineering or related field",N,,,N,,N,,N,,,,Y,N,,,Y,N,CHINA,H-1B,N,,,N,N,HUMAN RESOURCES,905 Asp Avenue / NEL Building Rm 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,07-jan-15,30-jun-15,N,N,,N,Y,Y,N,07-abr-14,"American Soc.of Mechanical Engineers, 11/12/2013",,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,CHINA,Doctorate,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,Y,,,,HR Management Professional,
A-06009-72677,15-mai-15,01-dez-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,12126,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1053,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",,,Year,70000,,Year,100 East Boyd Street,,Norman,OK,73019,Assistant Professor,Doctorate,,"Geography, Ecological Engineering or Related Field",N,,,N,,N,,N,,,,Y,N,,,Y,N,GERMANY,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING RM 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,07-jan-15,30-jun-15,N,N,,N,Y,Y,N,17-jan-14,"EOS Transactions Amer.Geophysical Union,10/15/2013",,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,GERMANY,Doctorate,GERMANY,A,A,A,A,N,N,Y,Y,,,,HR Management Professional,
A-06138-19016,29-mai-15,01-dez-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,12126,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1053,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",,,Year,90000,,Year,100 East Boyd Street,,Norman,OK,73019,Assistant Professor,Doctorate,,Economics or related field,N,,,N,,Y,International Environmental Policy,N,,,,Y,N,,,Y,N,POLAND,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING ROOM # 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,22-abr-15,21-jul-15,N,N,,N,Y,Y,N,13-mai-14,"EOS Transactions Amer.Geophysical Union,10/15/2013",,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,POLAND,Doctorate,GERMANY,A,A,A,A,A,N,Y,Y,,,,HR Management Professional,
A-06321-81706,15-jun-15,07-dez-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,12126,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,,Year,75000,,Year,120 David L. Boren Blvd,,Norman,OK,73019,Assistant Professor,Doctorate,,Meteorology / Atmospheric Science or related field,N,,,N,,N,,N,,,,Y,N,,,Y,N,UNITED KINGDOM,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING RM # 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,10-abr-15,09-jul-15,N,N,,N,Y,Y,N,24-abr-14,American Meteorological Society, 11/27/2013,,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,UNITED KINGDOM,Doctorate,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,Y,,,,HR Management Professional
A-06354-93423,29-jun-15,09-dez-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,12126,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1032,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",,,Year,86000,,Year,110 West Boyd Street,3109 Monitor Ave,Norman,OK,73019,Assistant Professor,Doctorate,,Electrical Engineering or related field,N,,,N,,N,,N,,,,Y,N,,,Y,N,PERU,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING RM 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,07-nov-14,30-jun-15,N,N,,N,Y,Y,N,11-mai-15,"IEEE Spectrum, December 2014",,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,PERU,Doctorate,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,Y,,,,HR Management Professional,
A-07059-14866,24-abr-15,19-out-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,8021,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1032,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",,,Year,87000,,Year,100 East Boyd Street,,Norman,OK,73019,Assistant Professor,Doctorate,,Chemical Engineering or related field,N,,,N,,N,,N,,,,Y,N,,,Y,N,CHINA,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING # 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,07-nov-14,30-jun-15,N,N,,N,Y,Y,N,23-abr-14,American Soc for EngineeringEducation,November2013,,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,CHINA,Doctorate,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,Y,,,,HR Management Professional
A-07065-16837,21-abr-15,19-out-15,Certified,ONLINE,THE UNIVERSITY OF OKLAHOMA,HUMAN RESOURCES,"905 ASP AVENUE, NEL BUILDING, ROOM # 207",NORMAN,OK,73019,405-325-1826,,8021,1890,611310,"Colleges, Universities, and Professional Schools",Educational Services,25-1081,"Education Teachers, Postsecondary","Education Teachers, Postsecondary",,,Year,58000,,Year,820 Van Vleet Oval,,Norman,OK,73019,Assistant Professor,Doctorate,,"Higher Education, Adult Education or related",N,,,N,,N,,N,,,,Y,N,,,Y,N,SOUTH KOREA,H-1B,N,,,N,N,HUMAN RESOURCES,905 ASP AVENUE / NEL BUILDING RM # 208,NORMAN,OK,73019,405-325-1826,ISABELCHU@OU.EDU,,,,,,,,,,,,,,07-jan-15,30-jun-15,N,N,,N,Y,Y,N,07-abr-14,"Chronicle of Higher Education, 11/29/2013",,,,,,,,,,,,,,,,,,,,,,,,,,N,A,N,,OK,SOUTH KOREA,Doctorate,UNITED STATES OF AMERICA,A,A,A,A,A,N,Y,Y,,,,HR Management Professional,
A-07138-38271,02-set-15,12-fev-16,Certified,ONLINE,GENERAL ELECTRIC COMPANY (AVIATION),1 NEUMANN WAY,,CINCINNATI,OH,45215-1988,585-398-2049,,30000,1892,488190,Other Support Activities for Air Transportation,Transportation,17-2011,Aerospace Engineers,Aerospace Engineers,,,Year,74000,88000,Year,18000 Phantom West Drive,,Victorville,CA,92394,Lead Flight Test Instrumentation Engineer/Technologist,Bachelor's,,"Engineering, Physics, Chemistry, Mathematics or Computer Science",N,,,Y,36,N,,Y,Other,Bachelor's deg or equiv based on combo of educ and exp.,3,Y,Y,36,Related electrical engineering experience.,N,N,BRAZIL,L-1,N,,,N,N,1 River Road,,Schenectady,NY,12345,585-398-3119,joanna.eisler@ge.com,Mizrahi,Yael,"Fragomen, Del Rey, Bernsen & Loewy, LLP",(212) 688-8555,,7 Hanover Square,,New York,NEW YORK,UNITED STATES OF AMERICA,10004,ymizrahi@fragomen.com,,10-set-14,30-jun-15,N,N,,Y,N,,,,,29-abr-15,29-mai-15,Y,San Bernardino Sun,San Bernardino Sun,Y,17-mai-15,,,,,28-abr-15,,,11-mai-15,08-jun-15,,,28-abr-15,,,,,,,N,A,N,,CA,BRAZIL,Other,BRAZIL,A,N,Y,Y,N,N,Y,N,Associate Attorney,YMizrahi@FRAGOMEN.COM,,Lead Immigration Specialist,
